00132,糠,강,겨(곡식껍질) 강,,좋지않은 의미 문자,17,17,19,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00133,絳,강,진홍 강,,,12,12,16,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00134,羌,강,오랑캐 강,,좋지않은 의미 문자,8,8,10,목토,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00135,腔,강,속빌 강,,좋지않은 의미 문자,14,12,16,목토,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00136,舡,강,배 강,,,9,9,11,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00137,薑,강,생강 강,,,19,17,19,목토,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00138,鱇,강,아귀(물고기) 강,,좋지않은 의미 문자,22,22,26,목토,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00139,嫝,강,편안할 강,,,14,14,17,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00140,跭,강,세울 강,,,13,13,16,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00141,襁,강,포대기 강,,,18,17,24,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00142,玒,강,옥이름 강,,,8,7,7,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00143,顜,강,밝을 강,,,19,19,22,목토,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00144,茳,강,천궁 모종 강,,,12,10,10,목토,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00145,改,개,고칠 개,,,7,7,9,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00146,皆,개,모두 개,,,9,9,13,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00147,個,개,낱 개,,,10,10,12,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00148,箇,개,낱 개,,,14,14,16,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00149,開,개,열 개,,,12,12,15,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00150,介,개,낄 개,,불용문자,4,4,4,목,화,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00151,慨,개,슬퍼할 개,,좋지않은 의미 문자,15,14,19,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00152,槪,개,대강 개,,,15,15,20,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00153,蓋,개,덮을 개,,,16,14,16,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00154,盖,개,덮을 개,,,11,11,12,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00155,价,개,클 개,,,6,6,6,목,화,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00156,凱,개,착할 개,,,12,12,17,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00157,愷,개,편안할 개,,,14,13,15,목,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00158,漑,개,물댈 개,,,15,14,19,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00159,塏,개,높은땅 개,,,13,13,15,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00160,愾,개,성낼 개,,좋지않은 의미 문자,14,13,15,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00161,疥,개,옴 개,,불용문자,9,9,9,목,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00162,芥,개,겨자 개,,,10,8,8,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00163,豈,개,개가 개,,,10,10,12,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00164,鎧,개,갑옷 개,,,18,18,20,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00165,玠,개,홀 개,,,9,8,8,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00166,客,객,손 객,,,9,9,12,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00167,喀,객,토할 객,,좋지않은 의미 문자,12,12,16,목,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00168,更,갱,다시 갱,,,7,7,8,목토,,분파무 , 
00169,坑,갱,빠질 갱,,좋지않은 의미 문자,7,7,10,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00170,粳,갱,메벼 갱,,,13,13,14,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00171,羹,갱,국 갱,,,19,19,19,목토,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00172,醵,갹,추렴할(돈을거두다) 갹,,,20,20,25,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00173,去,거,갈 거,,,5,5,6,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00174,巨,거,클 거,,불용문자,5,5,6,목,화,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00175,居,거,살 거,,,8,8,10,목,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00176,車,거,수레 거,,,7,7,8,목,화,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00177,擧,거,들 거,,,18,18,21,목,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00178,距,거,뛸 거,,,12,12,14,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00179,拒,거,막을 거,,,9,8,10,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00180,據,거,웅거할 거,,,17,16,20,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00181,渠,거,도랑 거,,,13,12,13,목,수,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00182,遽,거,급할 거,,좋지않은 의미 문자,20,17,23,목,토,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00183,鉅,거,클 거,,,13,13,14,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00184,炬,거,햇불 거,,,9,9,10,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
