00109,岬,갑,곶 갑,곳 갑(바다로 뾰족하게 내민 땅) 산허리 산과 산 사이,,8,8,10,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,山(뫼산)   mountain ,3,3,4,토
00110,胛,갑,어깨뼈 갑,어깨뼈 견갑골,,11,9,12,목수,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,月(육달월)   moon  month meat 원문자:肉  ,6,4,6,수
00111,閘,갑,수문 갑,물문 문빗장 닫다,,13,13,17,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,門(문문)   gate ,8,8,11,목
00112,江,강,물 강,물 물 이름 ,불용문자,7,6,6,목토,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,氵(물수)   water 원문자:水  ,4,3,3,수
00113,降,강,내릴 강,내리다,,14,9,13,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,阝(좌부방변)   mound  hill 원문자:阜  ,8,3,5,토
00114,講,강,익힐 강,풀이하다 이야기하다 익히다 꾀하다 토구하다 화해하다 강의,,17,17,20,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,言(말씀언)   word  speech ,7,7,8,금
00115,強,강,강할 강,강하다 굳세다 힘쓰다 강제로 하다 굳다,,11,11,17,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,弓(활궁)   bow  archery ,3,3,7,화
00116,强,강,강할 강,강하(게 하)다 힘쓰(게 하)다 강요하다 억지로 마흔 살 나머지 포대기,,12,12,18,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,弓(활궁)   bow  archery ,3,3,7,화
00117,康,강,편할 강,편안하다 편안히 하다 즐겁다 즐거워하다 풍년이 들다 비다 기리다 ,불용문자,11,11,13,목토,목,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,广(엄호)   large  a lot of ,3,3,3,목
00118,剛,강,굳셀 강,굳세다 억세다 강일(十干 중 甲 丙 戊 庚 壬에 해당하는 날 奇數의 날) 바야흐로,,10,10,14,목토,금,횡파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,山(뫼산)   mountain ,3,3,4,토
00119,鋼,강,강철 강,강철,,16,16,19,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,金(쇠금)  ,8,8,8,금
00120,鎠,강,굳셀 강,굳세다 강직하다 억세다 단단하다,,18,18,19,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,金(쇠금)  ,8,8,8,금
00121,綱,강,벼리 강,벼리(그물 윗 코를 꿴 굵은 줄. 전하여 사물을 총괄 규제하는 것) 대강 매다 다스리다 줄,,14,14,19,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,糸(실사)   silk  thread ,6,6,9,목
00122,杠,강,외나무다리 강,작은 다리 들다,,7,7,7,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00123,堈,강,언덕 강,언덕 독 항아리,,11,11,14,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,土(흙토)   earth  soil ,3,3,3,토
00124,岡,강,산등성이 강,전 산 등성이 언덕,,8,8,11,금화,토,횡파 성(姓)씨 사용,수-ㅁㅂㅍ 토-ㅇㅎ ,田(밭전)   field ,5,5,6,토
00125,崗,강,산등성이 강,언덕 강 산 등성이 언덕 岡의 俗字,,11,11,15,목토,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,山(뫼산)   mountain ,3,3,4,토
00126,姜,강,생강 강,성(姓)(神農氏의 후손의 성),,9,9,10,목토,토,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,女(계집녀변)   woman  lady ,3,3,4,토
00127,橿,강,감탕나무 강,박달나무 호미자루,,17,17,19,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00128,彊,강,강할 강,굳세다 힘이 센 활 서로 따르는 모양,,16,16,22,목토,금,횡파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,弓(활궁)   bow  archery ,3,3,7,화
